id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,charter,rate_unemployment_normalized,percent_college_normalized,percent_lunch_normalized,income_poverty_ratio_estimate,income_poverty_se
120009004305,0.0813953488372093,0.647002551020408,0.396911898274296,48778.0,23.2783882783883,0.35583596214511,2016-2017,FL,32407,Regular School,High,No,-0.2661987700811181,0.44870271151977825,-0.23346447470946158,314,153
120009007903,0.18,0.67201166180758,0.373123659756969,25392.0,22.7411477411477,0.125230202578269,2016-2017,FL,32404,Regular School,High,Yes,1.4766396233848929,0.6003518727951992,-1.2179660017674891,366,67
120012000070,0.130543933054393,0.473026080743123,0.513910355486862,33636.0,17.979242979243,0.414841849148418,2016-2017,FL,32091,Regular School,High,No,0.6025030461931346,-0.6062482630962982,0.018443309247393107,191,30
120015000078,0.20293554562859,0.632786885245902,0.5,29099.0,22.032967032967,0.316187594553706,2016-2017,FL,32780,Regular School,High,No,1.8820256678079408,0.36250237396993884,-0.4027311856208224,269,92
120015000088,0.0853722019781364,0.590235081374322,0.354297693920335,41615.0,22.8632478632479,0.334794040315513,2016-2017,FL,32796,Regular School,High,No,-0.19590784305637818,0.10447859124547444,-0.32329659430779883,231,73
120015000090,0.160958904109589,0.3525,0.11829134720701,20625.0,22.6434676434676,0.268221574344023,2016-2017,FL,32955,Regular School,High,No,1.1400880248534127,-1.3370890839496146,-0.6075075981095212,310,130
120015000100,0.184439973172368,0.397819314641745,0.316860465116279,30345.0,20.006105006105,0.595744680851064,2016-2017,FL,32926,Regular School,High,No,1.5551162025270548,-1.0622837894517887,0.7907532220392913,228,75
120015000103,0.176470588235294,0.63663890991673,0.469387755102041,28940.0,23.0586080586081,0.216807558428642,2016-2017,FL,32901,Regular School,High,No,1.414257228058277,0.3858601140957066,-0.8270041851676903,244,60
120015000104,0.112665406427221,0.686366932559826,0.548663101604278,42364.0,22.5457875457875,0.442728442728443,2016-2017,FL,32901,Regular School,High,No,0.2864998733509392,0.6873987409539952,0.1374966842175163,177,66
120015000109,0.154243542435424,0.541037426132633,0.615643964935941,42823.0,21.5445665445665,0.351961950059453,2016-2017,FL,32935,Regular School,High,No,1.0213939266163772,-0.1938440167676966,-0.2500033973336602,215,31
120015000118,0.15568570034163,0.677446451070979,0.580099502487562,37185.0,22.3504273504273,0.217478318879253,2016-2017,FL,32953,Regular School,High,No,1.0468840849277412,0.6333071122084243,-0.8241405763438818,153,49
120015000119,0.15568570034163,0.677446451070979,0.580099502487562,37185.0,25.8424908424908,0.0765957446808511,2016-2017,FL,32953,Regular School,High,No,1.0468840849277412,0.6333071122084243,-1.4255961067465848,171,73
120015000127,0.102790014684288,0.843220338983051,0.535976505139501,64151.0,24.5482295482295,0.196735395189003,2016-2017,FL,32931,Regular School,High,No,0.11195220569897286,1.638519623647507,-0.9126962138399181,377,130
120015000131,0.0253807106598985,0.890625,0.720739219712526,61726.0,23.8156288156288,0.151162790697674,2016-2017,FL,32937,Regular School,High,No,-1.2562581725564816,1.9259699510479271,-1.1072546619810213,368,114
120015002977,0.10989010989011,0.539008894536213,0.940397350993378,56912.0,23.5225885225885,0.306408544726302,2016-2017,FL,32927,Regular School,High,No,0.23744647372839106,-0.20614453867891794,-0.4444798804770982,247,44
120015003293,0.0919780011378722,0.536483445837351,0.560511643161692,42979.0,21.5445665445665,0.375537799631223,2016-2017,FL,32908,Regular School,High,No,-0.0791502635776371,-0.22145824496322855,-0.14935343981006952,297,124
120015003296,0.0991080277502478,0.6939586645469,0.786802030456853,39558.0,26.2332112332112,0.0842872008324662,2016-2017,FL,32935,Regular School,High,No,0.04687304242206831,0.733433156102338,-1.3927597615451974,217,44
120015004244,0.113516113516114,0.677391677391677,0.753640776699029,66603.0,22.960927960928,0.0754048582995951,2016-2017,FL,32940,Regular School,High,No,0.3015361313634406,0.6329749779475624,-1.4306802358815267,443,53
120015007530,0.224315952503872,0.521924626688789,0.665893271461717,48565.0,19.2979242979243,0.47966573816156,2016-2017,FL,32907,Regular School,High,No,2.259924616090286,-0.3097393810591361,0.29518929270918276,204,19
120018000153,0.123298638911129,0.517125587642713,0.441,35256.0,20.5677655677656,0.57639569049951,2016-2017,FL,33020,Regular School,High,No,0.47444238520070486,-0.33883958587884233,0.7081485612367298,277,74
120018000157,0.11660777385159,0.62258876153201,0.405096660808436,42275.0,19.0781440781441,0.723174603174603,2016-2017,FL,33312,Regular School,High,No,0.3561812649213685,0.3006634337150951,1.3347767249910765,166,42
120018000160,0.118674918092465,0.462140063988624,0.639219934994583,51500.0,19.3223443223443,0.584615384615385,2016-2017,FL,33024,Regular School,High,No,0.39271806420359745,-0.6722584193349094,0.7432400586226969,254,61
120018000168,0.310185185185185,0.257062146892655,0.157093425605536,15942.0,17.6862026862027,0.759882869692533,2016-2017,FL,33060,Regular School,High,No,3.7776643349538994,-1.9158009982124535,1.491491563815734,101,31
120018000171,0.113344051446945,0.460811756473058,0.420624151967436,25477.0,17.2710622710623,0.744514106583072,2016-2017,FL,33009,Regular School,High,No,0.2984949322245494,-0.6803129528353467,1.4258792791153085,132,24
120018000217,0.117365710080942,0.533711405166982,0.846036585365854,31934.0,21.3003663003663,0.569156626506024,2016-2017,FL,33305,Regular School,High,No,0.36957779687737824,-0.23826722494897176,0.677243567495704,160,73
120018000225,0.197635135135135,0.493370551290998,0.560143626570916,45759.0,20.0549450549451,0.4826224328594,2016-2017,FL,33065,Regular School,High,No,1.7883408486823957,-0.4828843449852928,0.30781200625517346,421,167
120018000231,0.202110649184522,0.451375559820857,0.425430210325048,43669.0,18.4676434676435,0.640928725701944,2016-2017,FL,33334,Regular School,High,No,1.8674456132526864,-0.7375317528204396,0.9836528323435005,209,64
120018000234,0.0850327048864948,0.597447395653674,0.642857142857143,38598.0,21.5201465201465,0.415735567970205,2016-2017,FL,33314,Regular School,High,No,-0.20190845822823444,0.14821230975415045,0.02225877138703142,226,101
120018000241,0.0596926713947991,0.625744258576694,0.495787427090084,58329.0,19.0537240537241,0.562214089661482,2016-2017,FL,33313,Regular School,High,No,-0.6497938545076681,0.3197975998318228,0.6476045067109834,193,69
120018000247,0.0888888888888889,0.8683304647160071,0.982142857142857,84063.0,18.8339438339438,0.586289549376798,2016-2017,FL,33021,Regular School,High,No,-0.1337503596762059,1.7907813149698697,0.7503873985991737,405,130
120018000249,0.0860266159695817,0.714903846153846,0.759521218715996,59410.0,17.2466422466422,0.717485549132948,2016-2017,FL,33066,Regular School,High,No,-0.1843410678985894,0.860439639878801,1.3104890298266305,341,135
120018000251,0.189372526851328,0.318916102136529,0.275316455696203,28689.0,20.1770451770452,0.608421052631579,2016-2017,FL,33441,Regular School,High,No,1.6422991480387321,-1.5407336671855425,0.8448711564695238,141,29
120018000252,0.153529814941741,0.641963727329581,0.311464968152866,36660.0,18.0525030525031,0.784886927744071,2016-2017,FL,33309,Regular School,High,No,1.0087787845942287,0.4181485109713685,1.5982388253786073,150,56
120018000253,0.172767203513909,0.616678346180799,0.423853211009174,50984.0,20.4945054945055,0.589792785878741,2016-2017,FL,33025,Regular School,High,No,1.3487998586330832,0.2648241134598432,0.7653434070366324,223,34
120018000264,0.118131203098523,0.56326318524292,0.526901669758813,42384.0,18.1990231990232,0.53552790044159,2016-2017,FL,33351,Regular School,High,No,0.3831078951560866,-0.05907242266874011,0.5336758950072154,268,53
120018000265,0.106194690265487,0.640591315060055,0.531417112299465,71325.0,22.2527472527473,0.191588785046729,2016-2017,FL,33328,Regular School,High,No,0.17212988748411967,0.4098265369768165,-0.9346681088773986,403,69
120018000272,0.0643079661771251,0.348535658394813,0.728628800917958,40247.0,19.957264957265,0.53797733948804,2016-2017,FL,33317,Regular School,High,No,-0.5682184638040249,-1.3611278866304455,0.5441330340058042,325,97
120018002117,0.0613254203758655,0.729704797047971,0.733333333333333,86518.0,20.9340659340659,0.397385620915033,2016-2017,FL,33071,Regular School,High,No,-0.6209349966592987,0.9501890039515157,-0.056080776294623554,350,94
120018002120,0.0827296097218976,0.511682242990654,0.634423897581792,53952.0,21.3247863247863,0.305194805194805,2016-2017,FL,33325,Regular School,High,No,-0.24261569292083676,-0.3718467030867524,-0.4496615742234035,341,75
120018002721,0.0631229235880399,0.743016759776536,0.780369290573372,97143.0,22.960927960928,0.175444371296906,2016-2017,FL,33076,Regular School,High,No,-0.5891641057975276,1.0309095061675337,-1.0035917993351402,564,118
120018003029,0.0658914728682171,0.786533816425121,0.794202898550725,82178.0,20.8608058608059,0.373498111912118,2016-2017,FL,33028,Regular School,High,No,-0.5402299640223138,1.2947863468154595,-0.15806126947552218,514,120
120018003301,0.0934065934065934,0.713690062543433,0.465671641791045,43324.0,22.7167277167277,0.283940397350993,2016-2017,FL,33060,Regular School,High,No,-0.05389987807172953,0.8530795514672056,-0.5404008385776484,175,124
120018003684,0.126924521216673,0.64776357827476,0.836990595611285,45954.0,26.5506715506715,0.200581395348837,2016-2017,FL,33314,Regular School,High,No,0.538529898495167,0.4533173955768146,-0.8962768796587849,192,107
120018003815,0.0861928104575163,0.721358428805237,0.851030110935024,113203.0,23.0586080586081,0.128094481035658,2016-2017,FL,33332,Regular School,High,No,-0.18140357832848122,0.8995786582068105,-1.2057378314021194,732,67
120018003823,0.104891446507978,0.637521018496277,0.869413407821229,85717.0,20.2991452991453,0.269673704414587,2016-2017,FL,33029,Regular School,High,Yes,0.1490950384192239,0.39120900584082074,-0.6013081680751522,476,99
120018004037,0.134814363968351,0.700750804433321,0.598191214470284,67855.0,20.4212454212454,0.435844370860927,2016-2017,FL,33065,Regular School,High,No,0.677982963881832,0.7746190393513104,0.10810722196524204,312,101
